time,title,description,tags
00:05:27,12GESTOScorporalesparaEXPONERysermsATRACTIVOLengua,Gestos,Pulgar arriba
00:05:28,12GESTOScorporalesparaEXPONERysermsATRACTIVOLengua,Gestos,Pulgar Abajo
00:05:34,12GESTOScorporalesparaEXPONERysermsATRACTIVOLengua,Gestos,Pulgar arriba
00:05:35,12GESTOScorporalesparaEXPONERysermsATRACTIVOLengua,Gestos,Palma abierta
00:05:37,12GESTOScorporalesparaEXPONERysermsATRACTIVOLengua,Gestos,Pulgar arriba
00:05:38,12GESTOScorporalesparaEXPONERysermsATRACTIVOLengua,Gestos,Palma abierta
00:05:40,12GESTOScorporalesparaEXPONERysermsATRACTIVOLengua,Gestos,Pulgar arriba
00:05:44,12GESTOScorporalesparaEXPONERysermsATRACTIVOLengua,Gestos,Pulgar arriba
00:05:46,12GESTOScorporalesparaEXPONERysermsATRACTIVOLengua,Gestos,Pulgar arriba
00:05:46,12GESTOScorporalesparaEXPONERysermsATRACTIVOLengua,Gestos,Palma abierta
00:05:52,12GESTOScorporalesparaEXPONERysermsATRACTIVOLengua,Gestos,Pulgar arriba
00:05:52,12GESTOScorporalesparaEXPONERysermsATRACTIVOLengua,Gestos,Palma abierta
00:05:54,12GESTOScorporalesparaEXPONERysermsATRACTIVOLengua,Gestos,Pulgar arriba
00:05:56,12GESTOScorporalesparaEXPONERysermsATRACTIVOLengua,Gestos,Palma abierta
00:05:57,12GESTOScorporalesparaEXPONERysermsATRACTIVOLengua,Gestos,Pulgar arriba
00:06:01,12GESTOScorporalesparaEXPONERysermsATRACTIVOLengua,Gestos,Palma abierta
00:06:02,12GESTOScorporalesparaEXPONERysermsATRACTIVOLengua,Gestos,Pulgar arriba
00:06:04,12GESTOScorporalesparaEXPONERysermsATRACTIVOLengua,Gestos,Palma abierta
00:06:06,12GESTOScorporalesparaEXPONERysermsATRACTIVOLengua,Gestos,Palma abierta
00:06:08,12GESTOScorporalesparaEXPONERysermsATRACTIVOLengua,Gestos,Palma abierta
00:06:10,12GESTOScorporalesparaEXPONERysermsATRACTIVOLengua,Gestos,Palma abierta
00:06:10,12GESTOScorporalesparaEXPONERysermsATRACTIVOLengua,Gestos,Pulgar Abajo
00:06:15,12GESTOScorporalesparaEXPONERysermsATRACTIVOLengua,Gestos,Palma abierta
00:06:16,12GESTOScorporalesparaEXPONERysermsATRACTIVOLengua,Gestos,Palma abierta
00:06:22,12GESTOScorporalesparaEXPONERysermsATRACTIVOLengua,Gestos,Pulgar arriba
00:06:23,12GESTOScorporalesparaEXPONERysermsATRACTIVOLengua,Gestos,Palma abierta
00:06:29,12GESTOScorporalesparaEXPONERysermsATRACTIVOLengua,Gestos,Pulgar arriba
00:06:31,12GESTOScorporalesparaEXPONERysermsATRACTIVOLengua,Gestos,Pulgar arriba
00:06:42,12GESTOScorporalesparaEXPONERysermsATRACTIVOLengua,Gestos,Pulgar Abajo
00:06:46,12GESTOScorporalesparaEXPONERysermsATRACTIVOLengua,Gestos,Pulgar Abajo
00:06:50,12GESTOScorporalesparaEXPONERysermsATRACTIVOLengua,Gestos,Pulgar Abajo
00:06:52,12GESTOScorporalesparaEXPONERysermsATRACTIVOLengua,Gestos,Pulgar arriba
00:06:56,12GESTOScorporalesparaEXPONERysermsATRACTIVOLengua,Gestos,Pulgar arriba
00:06:58,12GESTOScorporalesparaEXPONERysermsATRACTIVOLengua,Gestos,Victoria
00:07:01,12GESTOScorporalesparaEXPONERysermsATRACTIVOLengua,Gestos,Pulgar Abajo
00:07:02,12GESTOScorporalesparaEXPONERysermsATRACTIVOLengua,Gestos,Pulgar arriba
00:07:02,12GESTOScorporalesparaEXPONERysermsATRACTIVOLengua,Gestos,Palma abierta
00:07:07,12GESTOScorporalesparaEXPONERysermsATRACTIVOLengua,Gestos,Pulgar arriba
00:07:11,12GESTOScorporalesparaEXPONERysermsATRACTIVOLengua,Gestos,Victoria
00:07:13,12GESTOScorporalesparaEXPONERysermsATRACTIVOLengua,Gestos,Pulgar arriba
